system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
00000000000000000000_0,-20.471159714502004,419.0683800566498,0.5348915187932312,-10.949849711148785,-31.421009425650787,224.1561222867204,119.89920869674512,1.869537962120058,37.59532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43373985424417,17.370498070198156]}"
00000000000000000002_0,-12.451717813787825,157.27941641488414,0.5845718036001957,-7.1845584489757925,-19.636276262763623,89.62397682245467,52.10857071174847,1.7481475254884318,37.109177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.55276205510815,13.729626223661736]}"
00000000000000000003_0,-21.04541309256004,443.43063267646914,0.5383976530902306,-11.31787613571609,-32.36328922827613,238.19799299506408,128.0944625963569,1.8594191259506385,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34651344015616,16.328901498261573]}"
00000000000000000005_0,-15.790104000078827,250.8858268413793,0.5541460347688013,-8.694810157038107,-24.48491415711693,137.24789985897965,76.30248050932802,1.833438407732792,37.109177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5448568806079,13.734656789252806]}"
00000000000000000006_0,-17.177968338629025,296.7271647968837,0.5992346298938187,-10.23804465309477,-27.416012991723804,175.89407126402452,106.11152268791501,1.6987531600243815,41.948856,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44326199625583,13.167370687331328]}"
00000000000000000007_0,-19.174483162204513,369.4500820039543,0.7044784804117028,-13.437263997183882,-32.6117471593884,257.49283628300765,181.22523991426127,1.4336961907227357,39.911102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1877857037341,12.19557321297083]}"
00000000000000000009_0,-14.253153411385792,203.84065125697097,0.6245304251789205,-8.892138411037516,-23.145291822423307,126.99872326573407,79.55776054131138,1.609950631971599,44.26184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.91172426836046,15.210319306475943]}"
0000000000000000000a_0,-14.481906184108729,210.5766424114317,0.43760398119198124,-6.347075668058495,-20.828981852167228,92.44221311236485,41.60131377282495,2.346126955657626,39.160614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31768209381778,12.317923754667909]}"
0000000000000000000b_0,-17.08529418994012,293.9718828591431,0.6565464526467354,-11.11217200002092,-28.197466189961037,189.39550966386514,124.01077220642749,1.5477192167378901,39.17748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34822481347784,12.80903272049605]}"
0000000000000000000c_0,-14.431546389344653,209.81476254191244,0.5563150106866295,-7.956821043349072,-22.38836743269372,114.67450016457481,68.42417432748863,1.9806783428080668,39.160614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29854797826603,12.341190120526605]}"
